event_id,stratum_id,date,case,case_label,tmax_anomaly_c,heatwave_indicator
HRF-0141,HRF-0141,2023-09-12,1,Event day,-1.3399999999999963,0.0
HRF-0141,HRF-0141,2023-09-05,0,Matched control day,-0.1899999999999977,0.0
HRF-0141,HRF-0141,2023-09-19,0,Matched control day,-1.599999999999998,0.0
HRF-0141,HRF-0141,2023-09-26,0,Matched control day,-4.239999999999998,0.0
HRF-0042,HRF-0042,2012-01-18,1,Event day,-0.4310000000000009,0.0
HRF-0042,HRF-0042,2012-01-04,0,Matched control day,-1.0809999999999995,0.0
HRF-0042,HRF-0042,2012-01-11,0,Matched control day,-1.561,0.0
HRF-0042,HRF-0042,2012-01-25,0,Matched control day,-0.4310000000000009,0.0
HRF-0044,HRF-0044,2012-03-03,1,Event day,-1.3810000000000002,0.0
HRF-0044,HRF-0044,2012-03-10,0,Matched control day,-4.661000000000001,0.0
HRF-0044,HRF-0044,2012-03-17,0,Matched control day,-3.121000000000002,0.0
HRF-0044,HRF-0044,2012-03-24,0,Matched control day,-3.371000000000002,0.0
HRF-0044,HRF-0044,2012-03-31,0,Matched control day,-3.2310000000000016,0.0
HRF-0047,HRF-0047,2012-05-14,1,Event day,-6.811,0.0
HRF-0047,HRF-0047,2012-05-07,0,Matched control day,-6.9510000000000005,0.0
HRF-0047,HRF-0047,2012-05-21,0,Matched control day,-4.591000000000001,0.0
HRF-0047,HRF-0047,2012-05-28,0,Matched control day,1.5189999999999984,0.0
HRF-0048,HRF-0048,2012-07-17,1,Event day,-1.772000000000002,0.0
HRF-0048,HRF-0048,2012-07-03,0,Matched control day,-3.5120000000000005,0.0
HRF-0048,HRF-0048,2012-07-10,0,Matched control day,1.4780000000000015,0.0
HRF-0048,HRF-0048,2012-07-24,0,Matched control day,0.1879999999999988,0.0
HRF-0048,HRF-0048,2012-07-31,0,Matched control day,-0.3820000000000014,0.0
HRF-0096,HRF-0096,2018-04-05,1,Event day,-0.6000000000000014,0.0
HRF-0096,HRF-0096,2018-04-12,0,Matched control day,0.7199999999999989,0.0
HRF-0096,HRF-0096,2018-04-19,0,Matched control day,-2.360000000000003,0.0
HRF-0096,HRF-0096,2018-04-26,0,Matched control day,3.539999999999999,0.0
HRF-0135,HRF-0135,2022-10-15,1,Event day,-5.532999999999998,0.0
HRF-0135,HRF-0135,2022-10-01,0,Matched control day,3.267000000000003,0.0
HRF-0135,HRF-0135,2022-10-08,0,Matched control day,-3.312999999999999,0.0
HRF-0135,HRF-0135,2022-10-22,0,Matched control day,-5.442999999999998,0.0
HRF-0135,HRF-0135,2022-10-29,0,Matched control day,-5.523,0.0
HRF-0049,HRF-0049,2012-09-06,1,Event day,-0.6700000000000017,0.0
HRF-0049,HRF-0049,2012-09-13,0,Matched control day,-2.629999999999999,0.0
HRF-0049,HRF-0049,2012-09-20,0,Matched control day,-3.2600000000000016,0.0
HRF-0049,HRF-0049,2012-09-27,0,Matched control day,-0.2899999999999991,0.0
HRF-0053,HRF-0053,2013-01-31,1,Event day,1.59,0.0
HRF-0053,HRF-0053,2013-01-03,0,Matched control day,-4.190000000000001,0.0
HRF-0053,HRF-0053,2013-01-10,0,Matched control day,0.3299999999999983,0.0
HRF-0053,HRF-0053,2013-01-17,0,Matched control day,-5.559999999999999,0.0
HRF-0053,HRF-0053,2013-01-24,0,Matched control day,-2.620000000000001,0.0
HRF-0054,HRF-0054,2013-04-03,1,Event day,-2.942,0.0
HRF-0054,HRF-0054,2013-04-10,0,Matched control day,-8.581999999999997,0.0
HRF-0054,HRF-0054,2013-04-17,0,Matched control day,-14.871999999999998,0.0
HRF-0054,HRF-0054,2013-04-24,0,Matched control day,-15.492,0.0
HRF-0056,HRF-0056,2013-11-04,1,Event day,-1.1900000000000013,0.0
HRF-0056,HRF-0056,2013-11-11,0,Matched control day,-1.150000000000002,0.0
HRF-0056,HRF-0056,2013-11-18,0,Matched control day,-1.91,0.0
HRF-0056,HRF-0056,2013-11-25,0,Matched control day,-2.620000000000001,0.0
HRF-0192,HRF-0192,2025-12-24,1,Event day,-0.9500000000000028,0.0
HRF-0192,HRF-0192,2025-12-03,0,Matched control day,-1.620000000000001,0.0
HRF-0192,HRF-0192,2025-12-10,0,Matched control day,-2.41,0.0
HRF-0192,HRF-0192,2025-12-17,0,Matched control day,-0.9400000000000012,0.0
HRF-0192,HRF-0192,2025-12-31,0,Matched control day,-0.9000000000000021,0.0
HRF-0057,HRF-0057,2013-11-12,1,Event day,-1.3610000000000042,0.0
HRF-0057,HRF-0057,2013-11-05,0,Matched control day,-1.4710000000000036,0.0
HRF-0057,HRF-0057,2013-11-19,0,Matched control day,-0.2610000000000028,0.0
HRF-0057,HRF-0057,2013-11-26,0,Matched control day,-2.791000000000004,0.0
HRF-0058,HRF-0058,2013-12-15,1,Event day,-11.762,0.0
HRF-0058,HRF-0058,2013-12-01,0,Matched control day,-4.642,0.0
HRF-0058,HRF-0058,2013-12-08,0,Matched control day,-2.282,0.0
HRF-0058,HRF-0058,2013-12-22,0,Matched control day,-12.292,0.0
HRF-0058,HRF-0058,2013-12-29,0,Matched control day,-12.162,0.0
HRF-0059,HRF-0059,2014-01-05,1,Event day,-4.551,0.0
HRF-0059,HRF-0059,2014-01-12,0,Matched control day,-0.9709999999999992,0.0
HRF-0059,HRF-0059,2014-01-19,0,Matched control day,-7.250999999999999,0.0
HRF-0059,HRF-0059,2014-01-26,0,Matched control day,-13.821,0.0
HRF-0060,HRF-0060,2014-03-14,1,Event day,-6.609000000000002,0.0
HRF-0060,HRF-0060,2014-03-07,0,Matched control day,-8.999000000000002,0.0
HRF-0060,HRF-0060,2014-03-21,0,Matched control day,-3.669000000000002,0.0
HRF-0060,HRF-0060,2014-03-28,0,Matched control day,-1.269000000000002,0.0
HRF-0061,HRF-0061,2014-03-15,1,Event day,-3.1220000000000017,0.0
HRF-0061,HRF-0061,2014-03-01,0,Matched control day,-13.852,0.0
HRF-0061,HRF-0061,2014-03-08,0,Matched control day,-3.982000000000001,0.0
HRF-0061,HRF-0061,2014-03-22,0,Matched control day,-1.4420000000000002,0.0
HRF-0061,HRF-0061,2014-03-29,0,Matched control day,-6.372000000000002,0.0
HRF-0062,HRF-0062,2014-07-18,1,Event day,-0.9299999999999996,0.0
