stratum_id,event_id,event_anomaly_c,control_mean_anomaly_c,event_minus_control_c,continent
HRF-0203,HRF-0203,-0.5760000000000005,-3.5635000000000012,2.9875000000000007,Asia
HRF-0204,HRF-0204,-7.307000000000002,-4.942000000000001,-2.365000000000001,Asia
HRF-0205,HRF-0205,-3.0760000000000005,-3.722666666666669,0.6466666666666683,Asia
HRF-0206,HRF-0206,-2.9399999999999977,-2.8866666666666667,-0.05333333333333101,Oceania
HRF-0207,HRF-0207,-11.035000000000002,-4.6816666666666675,-6.353333333333334,North America
HRF-0208,HRF-0208,-7.022000000000001,-1.8995000000000006,-5.1225000000000005,North America
HRF-0209,HRF-0209,-3.261000000000003,-1.8210000000000004,-1.4400000000000024,Asia
HRF-0210,HRF-0210,-2.022,-0.30450000000000005,-1.7174999999999998,Europe
HRF-0211,HRF-0211,-1.3039999999999985,-10.390666666666666,9.086666666666668,Asia
HRF-0212,HRF-0212,1.9180000000000028,-6.3995,8.317500000000003,North America
HRF-0213,HRF-0213,-9.831,-3.851000000000001,-5.979999999999999,Europe
